Strain,Glycerol,Glycerol_SD,Acetate,Acetate_SD,Pyruvate,Pyruvate_SD,Succinate,Succinate_SD,Ethanol,Ethanol_SD,Biomass,Biomass_SD
AL1,1.01E-01,1.06E-02,4.32E-03,2.07E-04,1.50E-03,8.15E-04,0,0,3.37E-01,1.02E-02,6.84E-02,5.99E-03
AL3-h,9.02E-02,1.45E-02,3.21E-03,5.25E-04,2.05E-03,2.51E-04,3.88E-04,9.43E-07,3.39E-01,6.76E-03,8.67E-02,1.18E-02
CA1,1.07E-01,1.14E-02,2.30E-03,8.09E-04,3.41E-03,1.19E-03,5.04E-03,1.23E-05,3.28E-01,9.23E-03,8.65E-02,6.21E-03
CBS7960,1.16E-01,8.88E-03,6.02E-03,5.45E-04,1.15E-03,1.47E-03,1.89E-03,4.59E-06,3.28E-01,8.71E-03,6.03E-02,5.29E-03
CEN.PK113-7D,1.03E-01,1.09E-02,7.78E-03,1.71E-03,9.88E-04,1.30E-03,0,0,3.16E-01,7.67E-03,8.22E-02,1.06E-02
CLIB215,9.48E-02,9.32E-03,6.10E-03,9.09E-04,4.34E-03,2.34E-04,8.98E-04,3.21E-04,3.57E-01,8.31E-03,6.64E-02,5.63E-04
CLIB324,9.46E-02,1.13E-02,4.44E-03,1.57E-04,1.81E-03,1.13E-03,0,0,3.39E-01,1.48E-02,6.82E-02,2.03E-03
CLIB382,9.99E-02,1.15E-02,5.03E-03,3.11E-04,1.60E-03,1.53E-03,2.11E-03,7.25E-04,3.19E-01,9.81E-03,6.10E-02,7.86E-04
DBVPG1373,1.52E-01,6.90E-03,6.26E-03,1.35E-04,1.28E-03,1.44E-04,0,0,3.65E-01,1.80E-02,5.68E-02,1.34E-02
DBVPG1788,1.03E-01,1.13E-02,5.56E-03,2.84E-04,2.49E-03,1.64E-03,4.92E-04,1.20E-06,3.38E-01,2.32E-02,6.41E-02,2.26E-03
DBVPG6044,1.03E-01,1.18E-02,5.58E-03,3.71E-04,2.46E-03,1.82E-03,7.56E-04,1.84E-06,3.30E-01,1.30E-02,6.38E-02,7.39E-03
DBVPG6765,1.07E-01,8.92E-03,1.00E-02,1.40E-03,9.15E-04,7.45E-04,6.33E-04,1.54E-06,3.48E-01,1.42E-02,5.75E-02,1.01E-03
DP1854,1.11E-01,9.98E-03,5.79E-03,2.78E-04,7.77E-04,8.79E-04,1.29E-03,3.13E-06,3.37E-01,1.58E-02,8.68E-02,4.52E-03
DP1855,9.99E-02,9.99E-03,5.99E-03,7.42E-04,1.39E-03,6.68E-04,0,0,3.38E-01,6.44E-03,1.00E-01,5.92E-03
EthanolRed,1.12E-01,8.84E-03,4.50E-03,1.35E-03,1.14E-03,1.36E-03,2.56E-03,1.99E-03,3.14E-01,2.00E-02,6.49E-02,5.29E-03
GDB135-h,1.10E-01,8.43E-03,4.60E-03,3.84E-04,6.76E-04,8.02E-04,7.33E-04,1.78E-06,3.39E-01,1.18E-02,6.44E-02,5.45E-03
GDB325,1.02E-01,1.10E-02,6.75E-03,1.11E-03,1.32E-03,3.21E-06,6.95E-04,1.69E-06,3.27E-01,1.34E-02,7.65E-02,7.76E-03
GDB379,1.04E-01,1.10E-02,4.66E-03,1.54E-04,1.47E-03,3.56E-06,8.37E-04,2.04E-06,3.16E-01,1.01E-02,6.71E-02,3.66E-03
KKYS2-h,9.68E-02,1.08E-02,9.91E-03,1.12E-03,1.13E-03,8.09E-04,6.90E-04,3.48E-04,3.35E-01,9.09E-03,8.87E-02,3.89E-03
L.1528,9.76E-02,1.08E-02,4.40E-03,1.81E-04,1.03E-03,2.51E-06,1.07E-03,2.60E-06,3.22E-01,8.32E-03,6.34E-02,5.99E-03
LU1250,1.04E-01,8.27E-03,4.16E-03,1.59E-03,7.18E-04,1.75E-06,1.93E-03,9.16E-04,3.25E-01,1.29E-02,6.53E-02,7.88E-04
NCYC110,1.31E-01,1.98E-02,7.76E-03,8.39E-04,1.81E-03,1.46E-03,7.23E-04,2.34E-04,3.45E-01,4.08E-02,6.59E-02,5.29E-03
PW5,1.05E-01,1.12E-02,8.50E-03,2.22E-03,7.59E-04,8.99E-04,0,0,3.39E-01,1.50E-02,6.71E-02,1.34E-03
RM11,1.06E-01,1.04E-02,6.37E-03,1.21E-04,1.40E-03,9.02E-04,9.26E-04,2.25E-06,3.30E-01,1.42E-02,6.08E-02,5.99E-03
S288c,9.04E-02,7.30E-03,4.36E-03,2.61E-04,2.16E-03,1.03E-03,5.44E-04,1.32E-06,3.36E-01,1.20E-02,7.48E-02,1.71E-03
SK1,1.05E-01,9.33E-03,8.61E-03,3.94E-05,5.98E-04,7.72E-04,7.35E-02,5.01E-04,3.18E-01,2.20E-02,6.20E-02,9.02E-03
T7,9.60E-02,2.74E-03,4.79E-03,3.84E-04,1.71E-03,2.05E-03,2.42E-03,5.90E-06,2.78E-01,4.41E-02,6.44E-02,6.45E-03
T73,1.01E-01,8.85E-03,5.81E-03,3.75E-04,7.77E-04,9.79E-04,1.44E-03,3.51E-06,3.38E-01,1.57E-02,6.03E-02,3.43E-03
UWOPS03-461.4,1.01E-01,1.01E-02,7.79E-03,2.85E-04,2.34E-04,2.51E-04,7.65E-02,1.14E-03,3.36E-01,1.02E-02,1.84E-02,1.48E-03
UWOPS05-217.3,1.12E-01,1.15E-02,1.17E-02,2.35E-03,1.28E-03,1.03E-03,5.44E-04,1.32E-06,3.28E-01,2.17E-02,7.56E-02,5.67E-03
UWOPS05-227.2,1.13E-01,9.89E-03,1.18E-02,2.39E-03,1.26E-03,1.04E-03,6.43E-04,1.56E-06,3.17E-01,2.14E-02,7.73E-02,3.81E-03
Y10,9.16E-02,1.20E-02,4.77E-03,1.71E-04,2.17E-03,8.32E-04,0,0,3.48E-01,1.88E-02,8.51E-02,5.92E-03
Y55,1.08E-01,1.14E-02,6.57E-03,1.11E-03,1.29E-03,1.20E-03,8.70E-04,3.34E-04,3.17E-01,1.57E-02,6.69E-02,4.50E-03
YJM269,9.50E-02,1.32E-02,4.25E-03,2.56E-05,1.92E-03,1.08E-03,0,0,3.46E-01,1.97E-02,6.76E-02,1.25E-03
YJM975,1.04E-01,1.02E-02,9.72E-03,7.69E-04,7.73E-04,6.85E-04,1.30E-03,3.15E-06,3.33E-01,1.56E-02,6.11E-02,1.33E-03
YJM978,1.02E-01,1.07E-02,1.00E-02,1.17E-03,8.29E-04,7.72E-04,1.33E-03,3.23E-06,3.27E-01,1.86E-02,6.16E-02,4.36E-03
YPS128,1.03E-01,1.27E-02,4.95E-03,8.05E-04,1.98E-03,2.17E-03,1.64E-03,3.99E-06,3.33E-01,1.82E-02,6.67E-02,4.12E-03
